CFW_ID,ORG_GROUP_ID,ORG_ID,BLANK
"1AD-CFW","1-1-CAVSQDN","1-1-CAVSQDN",
"1AD-CFW","1-13-ARBN","1-13-ARBN",
"1AD-CFW","1-27-FABN","1-27-FABN",
"1AD-CFW","1-35-ARBN","1-35-ARBN",
"1AD-CFW","1-36-INFBN","1-36-INFBN",
"1AD-CFW","1-37-ARBN","1-37-ARBN",
"1AD-CFW","1-4-ADABN","1-4-ADABN",
"1AD-CFW","1-41-INFBN","1-41-INFBN",
"1AD-CFW","1-501-AVNBN","1-501-AVNBN",
"1AD-CFW","1-6-INFBN","1-6-INFBN",
"1AD-CFW","1-94-FABN","1-94-FABN",
"1AD-CFW","1-AD","1-AD",
"1AD-CFW","1-AD-DIV","1-AD-DIV",
"1AD-CFW","1-AD-DIV-OG","1-4-ADABN",
"1AD-CFW","1-AD-DIV-OG","1-AD-DIV",
"1AD-CFW","1-AD-DIV-OG","141-SIGBN",
"1AD-CFW","1-AD-DIV-OG","501-MIBN-CEWI",
"1AD-CFW","1-AD-DIV-OG","501-MPCO",
"1AD-CFW","1-AD-DIV-OG","69-CHEMCO",
"1AD-CFW","1-BDE-1-AD","1-BDE-1-AD",
"1AD-CFW","1-BDE-1-AD-OG","1-36-INFBN",
"1AD-CFW","1-BDE-1-AD-OG","1-37-ARBN",
"1AD-CFW","1-BDE-1-AD-OG","1-BDE-1-AD",
"1AD-CFW","1-BDE-1-AD-OG","16-ENGBN",
"1AD-CFW","1-BDE-1-AD-OG","2-3-FABN",
"1AD-CFW","1-BDE-1-AD-OG","2-37-ARBN",
"1AD-CFW","1-BDE-1-AD-OG","501-FSB",
"1AD-CFW","102-POL-SUPPLYCO","102-POL-SUPPLYCO",
"1AD-CFW","106-TCBN","106-TCBN",
"1AD-CFW","109-MDM-TRKCO","109-MDM-TRKCO",
"1AD-CFW","11-AVN-RGT","11-AVN-RGT",
"1AD-CFW","110-POL-SUPPLYCO","110-POL-SUPPLYCO",
"1AD-CFW","12-AVNBDE","12-AVNBDE",
"1AD-CFW","123-MSB","123-MSB",
"1AD-CFW","125-FSB","125-FSB",
"1AD-CFW","125-ORDBN","125-ORDBN",
"1AD-CFW","127-DASB","127-DASB",
"1AD-CFW","130-ENGBDE","130-ENGBDE",
"1AD-CFW","141-SIGBN","141-SIGBN",
"1AD-CFW","15-PLS-TRKCO","15-PLS-TRKCO",
"1AD-CFW","16-CSG","16-CSG",
"1AD-CFW","16-CSG-OG","102-POL-SUPPLYCO",
