CFW_ID,ORG_ID,SUPERIOR_ORG_ID,BLANK
"1AD-CFW","102-POL-SUPPLYCO","485-CSB",
"1AD-CFW","106-TCBN","16-CSG",
"1AD-CFW","109-MDM-TRKCO","28-TCBN",
"1AD-CFW","110-POL-SUPPLYCO","6-TCBN",
"1AD-CFW","1-13-ARBN","3-BDE-1-AD",
"1AD-CFW","11-AVN-RGT","5-CORPS-REAR",
"1AD-CFW","1-1-CAVSQDN","AVNBDE-1-AD",
"1AD-CFW","123-MSB","DISCOM-1-AD",
"1AD-CFW","125-FSB","3-BDE-1-AD",
"1AD-CFW","125-ORDBN","7-CSG",
"1AD-CFW","127-DASB","AVNBDE-1-AD",
"1AD-CFW","1-27-FABN","41-FABDE",
"1AD-CFW","12-AVNBDE","5-CORPS-REAR",
"1AD-CFW","130-ENGBDE","5-CORPS-REAR",
"1AD-CFW","1-35-ARBN","2-BDE-1-AD",
"1AD-CFW","1-36-INFBN","1-BDE-1-AD",
"1AD-CFW","1-37-ARBN","1-BDE-1-AD",
"1AD-CFW","1-41-INFBN","3-BDE-1-AD",
"1AD-CFW","141-SIGBN","1-AD-DIV",
"1AD-CFW","1-4-ADABN","1-AD-DIV",
"1AD-CFW","1-501-AVNBN","AVNBDE-1-AD",
"1AD-CFW","15-PLS-TRKCO","106-TCBN",
"1AD-CFW","16-CSG","3-SUPCOM-HQ",
"1AD-CFW","16-ENGBN","1-BDE-1-AD",
"1AD-CFW","1-6-INFBN","2-BDE-1-AD",
"1AD-CFW","181-TCBN","7-CSG",
"1AD-CFW","18-MAINTBN","16-CSG",
"1AD-CFW","18-MPBDE","5-CORPS-REAR",
"1AD-CFW","18-PERISH-SUBPLT","51-MAINTBN",
"1AD-CFW","191-ORDBN","29-SPTGP",
"1AD-CFW","1-94-FABN","DIVARTY-1-AD",
"1AD-CFW","19-MMC","3-SUPCOM-HQ",
"1AD-CFW","1-AD","5-CORPS",
"1AD-CFW","1-AD-DIV","1-AD",
"1AD-CFW","1-BDE-1-AD","1-AD",
"1AD-CFW","200-MMC","21-TSC-HQ",
"1AD-CFW","205-MIBDE","5-CORPS-REAR",
"1AD-CFW","208-SCCO","3-SUPCOM-HQ",
"1AD-CFW","21-TSC-HQ","USAEUR",
"1AD-CFW","226-MAINTCO","18-MAINTBN",
"1AD-CFW","227-SUPPLYCO","18-MAINTBN",
"1AD-CFW","22-SIGBDE","5-CORPS-REAR",
"1AD-CFW","2-37-ARBN","1-BDE-1-AD",
"1AD-CFW","238-POL-TRKCO","106-TCBN",
"1AD-CFW","2-3-FABN","1-BDE-1-AD",
"1AD-CFW","23-ORDCO","191-ORDBN",
"1AD-CFW","240-SSCO","71-MAINTBN",
"1AD-CFW","244-ENGBN-CBTHVY","130-ENGBDE",
"1AD-CFW","2-4-FABN-MLRS","41-FABDE",
"1AD-CFW","24-ORDCO","191-ORDBN",
"1AD-CFW","2-501-AVNBN","AVNBDE-1-AD",
"1AD-CFW","25-FABTRY-TGTACQ","DIVARTY-1-AD",
"1AD-CFW","263-FLDSVC-CO","18-MAINTBN",
"1AD-CFW","2-6-INFBN","2-BDE-1-AD",
"1AD-CFW","26-SSCO","485-CSB",
