CFW_ID,ORG_ID,BLANK
"1AD-CFW","1-1-CAVSQDN",
"1AD-CFW","1-13-ARBN",
"1AD-CFW","1-27-FABN",
"1AD-CFW","1-35-ARBN",
"1AD-CFW","1-36-INFBN",
"1AD-CFW","1-37-ARBN",
"1AD-CFW","1-4-ADABN",
"1AD-CFW","1-41-INFBN",
"1AD-CFW","1-501-AVNBN",
"1AD-CFW","1-6-INFBN",
"1AD-CFW","1-94-FABN",
"1AD-CFW","1-AD",
"1AD-CFW","1-AD-DIV",
"1AD-CFW","1-BDE-1-AD",
"1AD-CFW","102-POL-SUPPLYCO",
"1AD-CFW","106-TCBN",
"1AD-CFW","109-MDM-TRKCO",
"1AD-CFW","11-AVN-RGT",
"1AD-CFW","110-POL-SUPPLYCO",
"1AD-CFW","12-AVNBDE",
"1AD-CFW","123-MSB",
"1AD-CFW","125-FSB",
"1AD-CFW","125-ORDBN",
"1AD-CFW","127-DASB",
"1AD-CFW","130-ENGBDE",
"1AD-CFW","141-SIGBN",
"1AD-CFW","15-PLS-TRKCO",
"1AD-CFW","16-CSG",
"1AD-CFW","16-ENGBN",
"1AD-CFW","18-MAINTBN",
"1AD-CFW","18-MPBDE",
"1AD-CFW","18-PERISH-SUBPLT",
"1AD-CFW","181-TCBN",
"1AD-CFW","19-MMC",
"1AD-CFW","191-ORDBN",
"1AD-CFW","2-3-FABN",
"1AD-CFW","2-37-ARBN",
"1AD-CFW","2-4-FABN-MLRS",
"1AD-CFW","2-501-AVNBN",
"1AD-CFW","2-6-INFBN",
"1AD-CFW","2-70-ARBN",
"1AD-CFW","2-BDE-1-AD",
"1AD-CFW","200-MMC",
"1AD-CFW","205-MIBDE",
"1AD-CFW","208-SCCO",
"1AD-CFW","21-TSC-HQ",
"1AD-CFW","22-SIGBDE",
"1AD-CFW","226-MAINTCO",
"1AD-CFW","227-SUPPLYCO",
"1AD-CFW","23-ORDCO",
"1AD-CFW","238-POL-TRKCO",
"1AD-CFW","24-ORDCO",
"1AD-CFW","240-SSCO",
"1AD-CFW","244-ENGBN-CBTHVY",
"1AD-CFW","25-FABTRY-TGTACQ",
"1AD-CFW","26-SSCO",
"1AD-CFW","263-FLDSVC-CO",
"1AD-CFW","27-TCBN-MVTCTRL",
"1AD-CFW","28-TCBN",
"1AD-CFW","286-ADA-SCCO",
"1AD-CFW","29-SPTGP",
"1AD-CFW","3-13-FABN-155",
"1AD-CFW","3-BDE-1-AD",
"1AD-CFW","3-SUPCOM-HQ",
"1AD-CFW","30-MEDBDE",
"1AD-CFW","316-POL-SUPPLYBN",
"1AD-CFW","317-MAINTCO",
"1AD-CFW","343-SUPPLYCO",
"1AD-CFW","37-TRANSGP",
"1AD-CFW","372-CGO-TRANSCO",
"1AD-CFW","377-HVY-TRKCO",
"1AD-CFW","4-1-FABN",
"1AD-CFW","4-27-FABN",
"1AD-CFW","40-ENGBN",
"1AD-CFW","41-FABDE",
"1AD-CFW","41-POL-TRKCO",
"1AD-CFW","416-POL-TRKCO",
"1AD-CFW","452-ORDCO",
"1AD-CFW","47-FSB",
"1AD-CFW","485-CSB",
"1AD-CFW","5-CORPS",
"1AD-CFW","5-CORPS-ARTY",
"1AD-CFW","5-CORPS-REAR",
"1AD-CFW","5-MAINTCO",
"1AD-CFW","501-FSB",
"1AD-CFW","501-MIBN-CEWI",
"1AD-CFW","501-MPCO",
"1AD-CFW","51-MAINTBN",
"1AD-CFW","51-MDM-TRKCO",
"1AD-CFW","512-MAINTCO",
"1AD-CFW","515-POL-TRKCO",
"1AD-CFW","52-ENGBN-CBTHVY",
"1AD-CFW","529-ORDCO",
"1AD-CFW","541-POL-TRKCO",
"1AD-CFW","561-SSBN",
"1AD-CFW","565-RPRPTCO",
"1AD-CFW","574-SSCO",
