CFW_ID,ROLE,ORG_ID,ORG_GROUP_ID,START_DATE,END_DATE,RELATION_ORDER,BLANK
"1AD-CFW","BrigadeSupportSubordinate","501-FSB","1-BDE-1-AD","2005-01-01 00:00:00",\N,5.000000000000000000000000000000,
"1AD-CFW","BrigadeSupportSubordinate","125-FSB","3-BDE-1-AD","2005-01-01 00:00:00",\N,5.000000000000000000000000000000,
"1AD-CFW","BrigadeSupportSubordinate","127-DASB","AVNBDE-1-AD","2005-01-01 00:00:00",\N,5.000000000000000000000000000000,
"1AD-CFW","DivisionSupportSubordinate","123-MSB","1-AD","2005-01-01 00:00:00",\N,4.000000000000000000000000000000,
"1AD-CFW","CorpsSupportSubordinate","16-CSG","1-AD","2005-01-01 00:00:00",\N,3.000000000000000000000000000000,
"1AD-CFW","CorpsSupportSubordinate","7-CSG","5-CORPS","2005-01-01 00:00:00",\N,3.000000000000000000000000000000,
"1AD-CFW","TheaterSupportSubordinate","21-TSC-HQ","USAEUR","2005-01-01 00:00:00",\N,2.000000000000000000000000000000,
"1AD-CFW","USArmySupportSubordinate","TRANSCOM","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
"1AD-CFW","USArmySupportSubordinate","OSC","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
"1AD-CFW","USArmySupportSubordinate","HNS","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
"1AD-CFW","USArmySupportSubordinate","CCAD","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
"1AD-CFW","USArmySupportSubordinate","DLAHQ","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
"1AD-CFW","JointSupportSubordinate","DLA-AVIATION","NCA","2005-01-01 00:00:00",\N,1.000000000000000000000000000000,
