CFW_ID,ORGTYPE_ID,PLUGIN_GROUP_ID,BLANK
"1AD-CFW","ARBN","AntsAssets",
"1AD-CFW","ARBN","Demand",
"1AD-CFW","ARBN","GLS",
"1AD-CFW","ARBN","GenericTableAllocator",
"1AD-CFW","ARBN","InventoryManagement",
"1AD-CFW","ARBN","PolicyManager",
"1AD-CFW","ARBN","LDMSQLAssets",
"1AD-CFW","ARBN","Org",
"1AD-CFW","ARBN","PolicyTransfer",
"1AD-CFW","ARBN","StrategicTransport",
"1AD-CFW","ARBN","SubsistenceAssets",
"1AD-CFW","ARBN","SubsistenceDemand",
"1AD-CFW","ARBN","UI",
"1AD-CFW","ARBN","Community",
"1AD-CFW","ARBN","XMLAssetPrototype",
"1AD-CFW","ARMY-HQ","PolicyManager",
"1AD-CFW","ARMY-HQ","GLS",
"1AD-CFW","ARMY-HQ","Org",
"1AD-CFW","ARMY-HQ","PolicyTransfer",
"1AD-CFW","ARMY-HQ","UI",
"1AD-CFW","ARMY-HQ","Community",
"1AD-CFW","AVN-RGT","AntsAssets",
"1AD-CFW","AVN-RGT","GLS",
"1AD-CFW","AVN-RGT","GenericTableAllocator",
"1AD-CFW","AVN-RGT","LDMSQLAssets",
"1AD-CFW","AVN-RGT","Org",
"1AD-CFW","AVN-RGT","PolicyTransfer",
"1AD-CFW","AVN-RGT","StrategicTransport",
"1AD-CFW","AVN-RGT","UI",
"1AD-CFW","AVN-RGT","Community",
"1AD-CFW","AVN-RGT","XMLAssetPrototype",
"1AD-CFW","AVNBDE","AntsAssets",
"1AD-CFW","AVNBDE","GLS",
"1AD-CFW","AVNBDE","GenericTableAllocator",
"1AD-CFW","AVNBDE","LDMSQLAssets",
"1AD-CFW","AVNBDE","Org",
"1AD-CFW","AVNBDE","PolicyTransfer",
"1AD-CFW","AVNBDE","StrategicTransport",
"1AD-CFW","AVNBDE","UI",
"1AD-CFW","AVNBDE","Community",
"1AD-CFW","AVNBDE","XMLAssetPrototype",
"1AD-CFW","AVNBN-ATTACK","AntsAssets",
"1AD-CFW","AVNBN-ATTACK","Demand",
"1AD-CFW","AVNBN-ATTACK","GLS",
"1AD-CFW","AVNBN-ATTACK","GenericTableAllocator",
"1AD-CFW","AVNBN-ATTACK","InventoryManagement",
"1AD-CFW","AVNBN-ATTACK","PolicyManager",
"1AD-CFW","AVNBN-ATTACK","LDMSQLAssets",
