TRIAL_ID,ASSEMBLY_ID,EXPT_ID,DESCRIPTION,BLANK
"TINY-1AD-TRANS-STUB.TRIAL","CMT-TINY-1AD-TRANS-STUB-CFW-GRP{ST134589}","TINY-1AD-TRANS-STUB","TRIAL",
"TINY-1AD-TRANS.TRIAL","CMT-TINY-1AD-TRANS-CFW-GRP{ST134589}","TINY-1AD-TRANS","TRIAL",
"FULL-1AD-TRANS.TRIAL","CMT-1AD-TRANS-CFW-GRP{ST134589}","FULL-1AD-TRANS","TRIAL",
"SMALL-1AD-TRANS-STUB.TRIAL","CMT-SMALL-1AD-TRANS-STUB-CFW-GRP{ST134589}","SMALL-1AD-TRANS-STUB","TRIAL",
"SMALL-1AD-TRANS.TRIAL","CMT-SMALL-1AD-TRANS-CFW-GRP{ST134589}","SMALL-1AD-TRANS","TRIAL",
"FULL-1AD-TRANS-STUB.TRIAL","CMT-1AD-TRANS-STUB-CFW-GRP{ST134589}","FULL-1AD-TRANS-STUB","TRIAL",
"TINY-1AD-TRANS-STUB.TRIAL","COMM-DEFAULT_CONFIG","TINY-1AD-TRANS-STUB","TRIAL",
"TINY-1AD-TRANS.TRIAL","COMM-DEFAULT_CONFIG","TINY-1AD-TRANS","TRIAL",
"FULL-1AD-TRANS.TRIAL","COMM-DEFAULT_CONFIG","FULL-1AD-TRANS","TRIAL",
"SMALL-1AD-TRANS-STUB.TRIAL","COMM-DEFAULT_CONFIG","SMALL-1AD-TRANS-STUB","TRIAL",
"SMALL-1AD-TRANS.TRIAL","COMM-DEFAULT_CONFIG","SMALL-1AD-TRANS","TRIAL",
"FULL-1AD-TRANS-STUB.TRIAL","COMM-DEFAULT_CONFIG","FULL-1AD-TRANS-STUB","TRIAL",
"SD-SMALL-1AD-TRANS-STUB.TRIAL","COMM-DEFAULT_CONFIG","SD-SMALL-1AD-TRANS-STUB","TRIAL",
"SD-SMALL-1AD-TRANS-STUB.TRIAL","CMT-SD-SMALL-1AD-TRANS-STUB-CFW-GRP{ST134589}","SD-SMALL-1AD-TRANS-STUB","TRIAL",
