ORG_GROUP_ID,DESCRIPTION,BLANK
"227-SUPPLYCO","227-SUPPLYCO Solo Org Group",
"102-POL-SUPPLYCO","102-POL-SUPPLYCO Solo Org Group",
"106-TCBN","106-TCBN Solo Org Group",
"109-MDM-TRKCO","109-MDM-TRKCO Solo Org Group",
"110-POL-SUPPLYCO","110-POL-SUPPLYCO Solo Org Group",
"1-13-ARBN","1-13-ARBN Solo Org Group",
"11-AVN-RGT","11-AVN-RGT Solo Org Group",
"1-1-CAVSQDN","1-1-CAVSQDN Solo Org Group",
"123-MSB","123-MSB Solo Org Group",
"125-FSB","125-FSB Solo Org Group",
"125-ORDBN","125-ORDBN Solo Org Group",
"127-DASB","127-DASB Solo Org Group",
"1-27-FABN","1-27-FABN Solo Org Group",
"12-AVNBDE","12-AVNBDE Solo Org Group",
"130-ENGBDE","130-ENGBDE Solo Org Group",
"1-35-ARBN","1-35-ARBN Solo Org Group",
"1-36-INFBN","1-36-INFBN Solo Org Group",
"1-37-ARBN","1-37-ARBN Solo Org Group",
"1-41-INFBN","1-41-INFBN Solo Org Group",
"141-SIGBN","141-SIGBN Solo Org Group",
"1-4-ADABN","1-4-ADABN Solo Org Group",
"1-501-AVNBN","1-501-AVNBN Solo Org Group",
"15-PLS-TRKCO","15-PLS-TRKCO Solo Org Group",
"16-CSG","16-CSG Solo Org Group",
"16-ENGBN","16-ENGBN Solo Org Group",
"1-6-INFBN","1-6-INFBN Solo Org Group",
"181-TCBN","181-TCBN Solo Org Group",
"18-MAINTBN","18-MAINTBN Solo Org Group",
"18-MPBDE","18-MPBDE Solo Org Group",
"18-PERISH-SUBPLT","18-PERISH-SUBPLT Solo Org Group",
"191-ORDBN","191-ORDBN Solo Org Group",
"1-94-FABN","1-94-FABN Solo Org Group",
"19-MMC","19-MMC Solo Org Group",
"1-AD","1-AD Solo Org Group",
"1-AD-DIV","1-AD-DIV Solo Org Group",
"1-BDE-1-AD","1-BDE-1-AD Solo Org Group",
"200-MMC","200-MMC Solo Org Group",
"205-MIBDE","205-MIBDE Solo Org Group",
"208-SCCO","208-SCCO Solo Org Group",
"21-TSC-HQ","21-TSC-HQ Solo Org Group",
"226-MAINTCO","226-MAINTCO Solo Org Group",
"JSRCMDSE","JSRCMDSE Solo Org Group",
"NATO","NATO Solo Org Group",
"CONUSGround","CONUSGround Solo Org Group",
"DISCOM-1-AD","DISCOM-1-AD Solo Org Group",
"DIVARTY-1-AD","DIVARTY-1-AD Solo Org Group",
"DLAHQ","DLAHQ Solo Org Group",
"FORSCOM","FORSCOM Solo Org Group",
"GlobalAir","GlobalAir Solo Org Group",
"GlobalSea","GlobalSea Solo Org Group",
"HNS","HNS Solo Org Group",
"NCA","NCA Solo Org Group",
"OSC","OSC Solo Org Group",
"PlanePacker","PlanePacker Solo Org Group",
"RSA","RSA Solo Org Group",
"ShipPacker","ShipPacker Solo Org Group",
"TheaterGround","TheaterGround Solo Org Group",
"TRANSCOM","TRANSCOM Solo Org Group",
"USAEUR","USAEUR Solo Org Group",
"USEUCOM","USEUCOM Solo Org Group",
"1-AD-DIV-OG","1-AD-DIV Org Group",
"1-BDE-1-AD-OG","1-BDE-1-AD Org Group",
"2-BDE-1-AD-OG","2-BDE-1AD Org Group",
"3-BDE-1-AD-OG","3-BDE-1AD Org Group",
"DIVARTY-1-AD-OG","DIVARTY-1AD Org Group",
"DISCOM-1-AD-OG","DISCOM-1AD Org Group",
"AVNBDE-1-AD-OG","AVNBDE-1-AD Org Group",
"3-SUPCOM-OG","3-SUPCOM Org Group",
"16-CSG-OG","16-CSG Org Group",
"7-CSG-OG","7-CSG Org Group",
"5-CORPS-REAR-OG","5-CORPS-REAR Org Group",
"5-CORPS-ARTY-OG","5-CORPS-ARTY Org Group",
"21-TSC-OG","21-TSC Org Group",
"29-SPTGP-OG","29-SPTGP Org Group",
"37-TRANSGP-OG","37-TRANSGP Org Group",
"AVNBDE-1-AD","AVNBDE-1-AD Solo Org Group",
"AWR-2","AWR-2 Solo Org Group",
"501-MIBN-CEWI","501-MIBN-CEWI Solo Org Group",
"501-MPCO","501-MPCO Solo Org Group",
"512-MAINTCO","512-MAINTCO Solo Org Group",
"515-POL-TRKCO","515-POL-TRKCO Solo Org Group",
"51-MAINTBN","51-MAINTBN Solo Org Group",
"51-MDM-TRKCO","51-MDM-TRKCO Solo Org Group",
"529-ORDCO","529-ORDCO Solo Org Group",
"52-ENGBN-CBTHVY","52-ENGBN-CBTHVY Solo Org Group",
"541-POL-TRKCO","541-POL-TRKCO Solo Org Group",
"561-SSBN","561-SSBN Solo Org Group",
"565-RPRPTCO","565-RPRPTCO Solo Org Group",
"574-SSCO","574-SSCO Solo Org Group",
"584-MAINTCO","584-MAINTCO Solo Org Group",
"588-MAINTCO","588-MAINTCO Solo Org Group",
"592-ORDCO","592-ORDCO Solo Org Group",
"594-MDM-TRKCO","594-MDM-TRKCO Solo Org Group",
"596-MAINTCO","596-MAINTCO Solo Org Group",
"597-MAINTCO","597-MAINTCO Solo Org Group",
"5-CORPS","5-CORPS Solo Org Group",
"5-CORPS-ARTY","5-CORPS-ARTY Solo Org Group",
"5-CORPS-REAR","5-CORPS-REAR Solo Org Group",
"5-MAINTCO","5-MAINTCO Solo Org Group",
"632-MAINTCO","632-MAINTCO Solo Org Group",
"66-MDM-TRKCO","66-MDM-TRKCO Solo Org Group",
"68-MDM-TRKCO","68-MDM-TRKCO Solo Org Group",
"69-ADABDE","69-ADABDE Solo Org Group",
"69-CHEMCO","69-CHEMCO Solo Org Group",
"6-TCBN","6-TCBN Solo Org Group",
"702-EODDET","702-EODDET Solo Org Group",
"70-ENGBN","70-ENGBN Solo Org Group",
"71-MAINTBN","71-MAINTBN Solo Org Group",
"71-ORDCO","71-ORDCO Solo Org Group",
"720-EODDET","720-EODDET Solo Org Group",
"77-MAINTCO","77-MAINTCO Solo Org Group",
"7-CSG","7-CSG Solo Org Group",
"7-TCGP-TPTDD","7-TCGP-TPTDD Solo Org Group",
"900-POL-SUPPLYCO","900-POL-SUPPLYCO Solo Org Group",
"317-MAINTCO","317-MAINTCO Solo Org Group",
"22-SIGBDE","22-SIGBDE Solo Org Group",
"2-37-ARBN","2-37-ARBN Solo Org Group",
"238-POL-TRKCO","238-POL-TRKCO Solo Org Group",
"2-3-FABN","2-3-FABN Solo Org Group",
"23-ORDCO","23-ORDCO Solo Org Group",
"240-SSCO","240-SSCO Solo Org Group",
"244-ENGBN-CBTHVY","244-ENGBN-CBTHVY Solo Org Group",
"2-4-FABN-MLRS","2-4-FABN-MLRS Solo Org Group",
"24-ORDCO","24-ORDCO Solo Org Group",
"2-501-AVNBN","2-501-AVNBN Solo Org Group",
"25-FABTRY-TGTACQ","25-FABTRY-TGTACQ Solo Org Group",
"263-FLDSVC-CO","263-FLDSVC-CO Solo Org Group",
"2-6-INFBN","2-6-INFBN Solo Org Group",
"343-SUPPLYCO","343-SUPPLYCO Solo Org Group",
"372-CGO-TRANSCO","372-CGO-TRANSCO Solo Org Group",
"377-HVY-TRKCO","377-HVY-TRKCO Solo Org Group",
"37-TRANSGP","37-TRANSGP Solo Org Group",
"3-BDE-1-AD","3-BDE-1-AD Solo Org Group",
"3-SUPCOM-HQ","3-SUPCOM-HQ Solo Org Group",
"40-ENGBN","40-ENGBN Solo Org Group",
"416-POL-TRKCO","416-POL-TRKCO Solo Org Group",
"41-FABDE","41-FABDE Solo Org Group",
"4-1-FABN","4-1-FABN Solo Org Group",
"41-POL-TRKCO","41-POL-TRKCO Solo Org Group",
"4-27-FABN","4-27-FABN Solo Org Group",
"452-ORDCO","452-ORDCO Solo Org Group",
"47-FSB","47-FSB Solo Org Group",
"485-CSB","485-CSB Solo Org Group",
"501-FSB","501-FSB Solo Org Group",
"26-SSCO","26-SSCO Solo Org Group",
"2-70-ARBN","2-70-ARBN Solo Org Group",
"27-TCBN-MVTCTRL","27-TCBN-MVTCTRL Solo Org Group",
"286-ADA-SCCO","286-ADA-SCCO Solo Org Group",
"28-TCBN","28-TCBN Solo Org Group",
"29-SPTGP","29-SPTGP Solo Org Group",
"2-BDE-1-AD","2-BDE-1-AD Solo Org Group",
"30-MEDBDE","30-MEDBDE Solo Org Group",
"3-13-FABN-155","3-13-FABN-155 Solo Org Group",
"316-POL-SUPPLYBN","316-POL-SUPPLYBN Solo Org Group",
"DLA-OTHER","DLA-OTHER Solo Org Group",
"DLA-AVIATION","DLA-AVIATION Solo Org Group",
"DSCC","DSCC Solo Org Group",
"DRYTECH","DRYTECH Solo Org Group",
"PARTSALACARTE","PARTSALACARTE Solo Org Group",
"WARNERROBBINS","WARNERROBBINS Solo Org Group",
"PWCSANDIEGO","PWCSANDIEGO Solo Org Group",
"GRAINGER","GRAINGER Solo Org Group",
"NEWARK","NEWARK Solo Org Group",
"CCAD","CCAD Solo Org Group",
