ORG_ID,ORG_NAME,UIC,BLANK
"NCA","NCA",\N,
"FORSCOM","FORSCOM",\N,
"DLAHQ","DLAHQ",\N,
"OSC","OSC",\N,
"HNS","HNS",\N,
"USEUCOM","USEUCOM",\N,
"USAEUR","USAEUR",\N,
"NATO","NATO",\N,
"JSRCMDSE","JSRCMDSE",\N,
"TRANSCOM","TRANSCOM",\N,
"GlobalSea","GlobalSea",\N,
"GlobalAir","GlobalAir",\N,
"ShipPacker","ShipPacker",\N,
"PlanePacker","PlanePacker",\N,
"CONUSGround","CONUSGround",\N,
"TheaterGround","TheaterGround",\N,
"5-CORPS","5-CORPS","WAT6AA",
"1-AD","1-AD","WAPBAA",
"1-AD-DIV","1-AD-DIV",\N,
"501-MPCO","501-MPCO","WAPCAA",
"141-SIGBN","141-SIGBN","WAPEAA",
"1-4-ADABN","1-4-ADABN","WGM8AA",
"501-MIBN-CEWI","501-MIBN-CEWI","WH6YAA",
"69-CHEMCO","69-CHEMCO","WA8RAA",
"1-BDE-1-AD","1-BDE-1-AD","WAELAA",
"2-37-ARBN","2-37-ARBN","WAD9AA",
"1-36-INFBN","1-36-INFBN","WAE3AA",
"1-37-ARBN","1-37-ARBN","WH54AA",
"16-ENGBN","16-ENGBN","WAEUAA",
"2-3-FABN","2-3-FABN","WAEQAA",
"501-FSB","501-FSB","WH96AA",
"2-BDE-1-AD","2-BDE-1-AD","WAPGAA",
"1-6-INFBN","1-6-INFBN","WAPSAA",
"2-6-INFBN","2-6-INFBN","WAPWAA",
"1-35-ARBN","1-35-ARBN","WAPYAA",
"40-ENGBN","40-ENGBN","WDKXAA",
"4-27-FABN","4-27-FABN","WH28AA",
"47-FSB","47-FSB","WH98AA",
"3-BDE-1-AD","3-BDE-1-AD","WAHEAA",
"1-13-ARBN","1-13-ARBN","WAFZAA",
"1-41-INFBN","1-41-INFBN","WAHSAA",
"2-70-ARBN","2-70-ARBN","WAZBAA",
"70-ENGBN","70-ENGBN","WAZ8AA",
"4-1-FABN","4-1-FABN","WH9UAA",
"125-FSB","125-FSB","WJA0AA",
"DIVARTY-1-AD","DIVARTY-1-AD","WAPKAA",
"25-FABTRY-TGTACQ","25-FABTRY-TGTACQ","WH5QAA",
"1-94-FABN","1-94-FABN","WAF7AA",
"DISCOM-1-AD","DISCOM-1-AD","WAPLAA",
"123-MSB","123-MSB","WDJ0AA",
"AVNBDE-1-AD","AVNBDE-1-AD","WDJUAA",
"1-1-CAVSQDN","1-1-CAVSQDN","WAETAA",
"1-501-AVNBN","1-501-AVNBN","WAFDAA",
"2-501-AVNBN","2-501-AVNBN","WDUVAA",
"127-DASB","127-DASB","WJEQAA",
"16-CSG","16-CSG","WC9GAA",
"485-CSB","485-CSB","WB0UAA",
"596-MAINTCO","596-MAINTCO","WE7LAA",
"26-SSCO","26-SSCO","WH1LAA",
"588-MAINTCO","588-MAINTCO","WD4MAA",
"592-ORDCO","592-ORDCO","WQ92AA",
"102-POL-SUPPLYCO","102-POL-SUPPLYCO","WELQAA",
"18-MAINTBN","18-MAINTBN","WB0MAA",
"77-MAINTCO","77-MAINTCO","WB35AA",
