ROLE,THREAD_ID,DESCRIPTION,BLANK
"AmmunitionProvider","BASE",\N,
"AmmunitionTransportProvider","BASE",\N,
"Combat","BASE",\N,
"ConstructionProvider","BASE",\N,
"ConstructionSupplyProvider","BASE",\N,
"FuelSupplyProvider","BASE",\N,
"FuelTransportProvider","BASE",\N,
"GroundTransportProvider","BASE",\N,
"HETTransportationProvider","BASE",\N,
"MaterielTransportProvider","BASE",\N,
"PackagedPOLSupplyProvider","BASE",\N,
"SparePartsProvider","BASE",\N,
"SubsistenceSupplyProvider","BASE",\N,
"Superior","BASE",\N,
"StrategicTransportationProvider","BASE",\N,
"SeaTransportationProvider","BASE",\N,
"AirTransportationProvider","BASE",\N,
"ShipPackingTransportationProvider","BASE",\N,
"OrganicAirTransportationProvider","BASE",\N,
"CONUSGroundTransportationProvider","BASE",\N,
"TheaterStrategicTransportationProvider","BASE",\N,
"BrigadeSupportSubordinate","BASE",\N,
"DivisionSupportSubordinate","BASE",\N,
"CorpsSupportSubordinate","BASE",\N,
"TheaterSupportSubordinate","BASE",\N,
"USArmySupportSubordinate","BASE",\N,
"ConusSupportSubordinate","BASE",\N,
